[시간대별 통계]
time_bucket,total,fatal,error,warn,info,debug,top_node_1,top_node_1_count,top_node_2,top_node_2_count,top_node_3,top_node_3_count
2026-01-27 08:57,4478,0,96,18,4364,0,motor_driver_node-11,1729,logistics_module_node-19,1140,sysbot_monitor_hw_node-27,631
2026-01-27 08:58,5522,0,116,57,5349,0,sysbot_monitor_hw_node-27,2380,motor_driver_node-11,778,sysbot_monitor_node-28,569

[노드별 통계]
rank,node,total_count,percent,fatal,error,warn,info,debug
1,sysbot_monitor_hw_node-27,3011,30.11,0,0,72,2939,0
2,motor_driver_node-11,2507,25.07,0,18,0,2489,0
3,logistics_module_node-19,1376,13.76,0,11,0,1365,0
4,charger_module_node-20,733,7.33,0,5,0,728,0
5,sysbot_monitor_node-28,725,7.25,0,0,0,725,0
6,communication_node-22,618,6.18,0,5,0,613,0
7,tsd_node-25,290,2.90,0,145,0,145,0
8,agv_main_module_node-10,234,2.34,0,5,0,229,0
9,bms_id_node-17,145,1.45,0,0,0,145,0
10,io_manager_node-9,131,1.31,0,1,3,127,0
11,touch_monitor_ui-24,90,0.90,0,0,0,90,0
12,drive_pid_path_node-16,38,0.38,0,0,0,38,0
13,drive_module_node-18,27,0.27,0,11,0,16,0
14,canopen_device-1,18,0.18,0,5,0,13,0
15,launch_ros.actions.load_composable_nodes,11,0.11,0,0,0,11,0
16,peripheral_module_node-21,10,0.10,0,5,0,5,0
17,imu_wit_node-12,8,0.08,0,0,0,8,0
18,sybot_joystick-23,8,0.08,0,1,0,7,0
19,bt_navigator-8,6,0.06,0,0,0,6,0
20,laserscan_multi_merger-2,3,0.03,0,0,0,3,0
21,launch,2,0.02,0,0,0,2,0
22,component_container_isolated-7,1,0.01,0,0,0,1,0
23,lakibeam1_scan_node-3,1,0.01,0,0,0,1,0
24,lakibeam1_scan_node-5,1,0.01,0,0,0,1,0
25,robot_pose_publisher-14,1,0.01,0,0,0,1,0
26,robot_state_publisher-15,1,0.01,0,0,0,1,0
27,static_transform_publisher-13,1,0.01,0,0,0,1,0
28,static_transform_publisher-4,1,0.01,0,0,0,1,0
29,static_transform_publisher-6,1,0.01,0,0,0,1,0
30,vision_docker-26,1,0.01,0,0,0,1,0

[에러 목록]
timestamp,level,node,message
2026-01-27 08:57:44,ERROR,tsd_node-25,1769471864.8573287 [tsd_node-25] [ERROR] [1769471864.846347905] [tsd]: Unable to open port
2026-01-27 08:57:44,ERROR,canopen_device-1,1769471864.8965118 [canopen_device-1] [08:57:44.895] [main.cpp(34)]main() ###################################################
2026-01-27 08:57:44,ERROR,canopen_device-1,1769471864.8967025 [canopen_device-1] [08:57:44.895] [main.cpp(35)]main() ###################################################
2026-01-27 08:57:44,ERROR,canopen_device-1,1769471864.8968189 [canopen_device-1] [08:57:44.895] [main.cpp(36)]main() CAN Device!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,canopen_device-1,1769471864.8968542 [canopen_device-1] [08:57:44.895] [main.cpp(37)]main() ###################################################
2026-01-27 08:57:44,ERROR,canopen_device-1,1769471864.8968794 [canopen_device-1] [08:57:44.895] [main.cpp(38)]main() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9263501 [motor_driver_node-11] [08:57:44.925] [motor_control_main.cpp(37)]start() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9265275 [motor_driver_node-11] [08:57:44.925] [motor_control_main.cpp(38)]start() Motor Control Restarted!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9265993 [motor_driver_node-11] [08:57:44.925] [motor_control_main.cpp(39)]start() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9411459 [motor_driver_node-11] [08:57:44.940] [motor_api.cpp(24)]initialize() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9413707 [motor_driver_node-11] [08:57:44.940] [motor_api.cpp(25)]initialize() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9414320 [motor_driver_node-11] [08:57:44.940] [motor_api.cpp(26)]initialize() MOTOR API START!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9414740 [motor_driver_node-11] [08:57:44.940] [motor_api.cpp(27)]initialize() ###################################################
