[시간대별 통계]
time_bucket,total,fatal,error,warn,info,debug,top_node_1,top_node_1_count,top_node_2,top_node_2_count,top_node_3,top_node_3_count
2026-01-27 08:00,14921,0,338,137,14446,0,sysbot_monitor_hw_node-27,5629,motor_driver_node-11,2507,charger_module_node-20,1400
2026-01-27 09:00,302951,0,7296,3600,292055,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,30374
2026-01-27 10:00,816274,0,8323,3601,804350,0,motor_driver_node-11,338405,drive_pid_path_node-16,200578,sysbot_monitor_hw_node-27,151242
2026-01-27 11:00,1008363,0,8625,3600,996138,0,motor_driver_node-11,443800,drive_pid_path_node-16,264658,sysbot_monitor_hw_node-27,151200
2026-01-27 12:00,545682,0,11068,3600,531014,0,sysbot_monitor_hw_node-27,151200,motor_driver_node-11,138890,drive_pid_path_node-16,115778
2026-01-27 13:00,1377411,0,8908,3600,1364903,0,motor_driver_node-11,671194,drive_pid_path_node-16,384376,sysbot_monitor_hw_node-27,151200
2026-01-27 14:00,1085104,0,8647,3600,1072857,0,motor_driver_node-11,488771,drive_pid_path_node-16,294219,sysbot_monitor_hw_node-27,151200
2026-01-27 15:00,646563,0,8183,3600,634780,0,motor_driver_node-11,227947,sysbot_monitor_hw_node-27,151200,drive_pid_path_node-16,142535
2026-01-27 16:00,301204,0,7939,3600,289665,0,sysbot_monitor_hw_node-27,151200,motor_driver_node-11,40143,sysbot_monitor_node-28,36000
2026-01-27 17:00,962278,0,9453,3600,949225,0,motor_driver_node-11,395813,drive_pid_path_node-16,252343,sysbot_monitor_hw_node-27,151200
2026-01-27 18:00,1199524,0,8741,3600,1187183,0,motor_driver_node-11,548423,drive_pid_path_node-16,335746,sysbot_monitor_hw_node-27,151200
2026-01-27 19:00,1281705,0,8832,3600,1269273,0,motor_driver_node-11,596438,drive_pid_path_node-16,363888,sysbot_monitor_hw_node-27,151200
2026-01-27 20:00,1296181,0,8740,3600,1283841,0,motor_driver_node-11,609137,drive_pid_path_node-16,363607,sysbot_monitor_hw_node-27,151200
2026-01-27 21:00,1283361,0,8631,3600,1271130,0,motor_driver_node-11,602664,drive_pid_path_node-16,364188,sysbot_monitor_hw_node-27,151200
2026-01-27 22:00,1046947,0,8738,3600,1034609,0,motor_driver_node-11,469426,drive_pid_path_node-16,279932,sysbot_monitor_hw_node-27,151200
2026-01-27 23:00,1213221,0,8586,3600,1201035,0,motor_driver_node-11,566534,drive_pid_path_node-16,337156,sysbot_monitor_hw_node-27,151200
2026-01-28 00:00,861246,0,9332,3600,848314,0,motor_driver_node-11,348851,drive_pid_path_node-16,213422,sysbot_monitor_hw_node-27,151200
2026-01-28 01:00,237553,0,7200,3600,226753,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36001,communication_node-22,28748
2026-01-28 02:00,237549,0,7200,3600,226749,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,28744
2026-01-28 03:00,237553,0,7200,3600,226753,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,28748
2026-01-28 04:00,237553,0,7200,3600,226753,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,28748
2026-01-28 05:00,839975,0,8151,3600,828224,0,motor_driver_node-11,337795,drive_pid_path_node-16,206134,sysbot_monitor_hw_node-27,151200
2026-01-28 06:00,1296347,0,8886,3600,1283861,0,motor_driver_node-11,611564,drive_pid_path_node-16,366305,sysbot_monitor_hw_node-27,151200
2026-01-28 07:00,1375255,0,9080,3600,1362575,0,motor_driver_node-11,648316,drive_pid_path_node-16,393443,sysbot_monitor_hw_node-27,151200
2026-01-28 08:00,1374492,0,9002,3600,1361890,0,motor_driver_node-11,647980,drive_pid_path_node-16,395617,sysbot_monitor_hw_node-27,151198
2026-01-28 09:00,1362837,0,8811,3600,1350426,0,motor_driver_node-11,657917,drive_pid_path_node-16,384775,sysbot_monitor_hw_node-27,151200
2026-01-28 10:00,545134,0,8260,3600,533274,0,motor_driver_node-11,184610,sysbot_monitor_hw_node-27,151200,drive_pid_path_node-16,107360
2026-01-28 11:00,802269,0,8204,3600,790465,0,motor_driver_node-11,319915,drive_pid_path_node-16,197662,sysbot_monitor_hw_node-27,151200
2026-01-28 12:00,237277,0,7200,3600,226477,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,28472
2026-01-28 13:00,287796,0,7904,3600,276292,0,sysbot_monitor_hw_node-27,151198,sysbot_monitor_node-28,36000,communication_node-22,26115
2026-01-28 14:00,800680,0,8113,3600,788967,0,motor_driver_node-11,314820,drive_pid_path_node-16,192731,sysbot_monitor_hw_node-27,151198
2026-01-28 15:00,1236705,0,8713,3600,1224392,0,motor_driver_node-11,585444,drive_pid_path_node-16,342033,sysbot_monitor_hw_node-27,151200
2026-01-28 16:00,1421128,0,9302,3600,1408226,0,motor_driver_node-11,692384,drive_pid_path_node-16,397865,sysbot_monitor_hw_node-27,151200
2026-01-28 17:00,580461,0,8026,3600,568835,0,motor_driver_node-11,194592,sysbot_monitor_hw_node-27,151200,drive_pid_path_node-16,115745
2026-01-28 18:00,284329,0,7550,3601,273178,0,sysbot_monitor_hw_node-27,151242,sysbot_monitor_node-28,36001,motor_driver_node-11,28178
2026-01-28 19:00,274775,0,7489,3600,263686,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,26629
2026-01-28 20:00,684669,0,8325,3600,672744,0,motor_driver_node-11,252093,sysbot_monitor_hw_node-27,151200,drive_pid_path_node-16,150213
2026-01-28 21:00,951668,0,8625,3600,939443,0,motor_driver_node-11,427876,drive_pid_path_node-16,241356,sysbot_monitor_hw_node-27,151200
2026-01-28 22:00,1437998,0,9117,3600,1425281,0,motor_driver_node-11,702285,drive_pid_path_node-16,407188,sysbot_monitor_hw_node-27,151200
2026-01-28 23:00,1479616,0,9177,3600,1466839,0,motor_driver_node-11,728297,drive_pid_path_node-16,419005,sysbot_monitor_hw_node-27,151200
2026-01-29 00:00,1457181,0,9021,3600,1444560,0,motor_driver_node-11,713134,drive_pid_path_node-16,415931,sysbot_monitor_hw_node-27,151200
2026-01-29 01:00,1300299,0,8907,3600,1287792,0,motor_driver_node-11,612983,drive_pid_path_node-16,363555,sysbot_monitor_hw_node-27,151200
2026-01-29 02:00,1339368,0,8939,3600,1326829,0,motor_driver_node-11,630712,drive_pid_path_node-16,380705,sysbot_monitor_hw_node-27,151200
2026-01-29 03:00,1392558,0,8935,3600,1380023,0,motor_driver_node-11,667292,drive_pid_path_node-16,394901,sysbot_monitor_hw_node-27,151200
2026-01-29 04:00,1334632,0,8893,3600,1322139,0,motor_driver_node-11,632118,drive_pid_path_node-16,380194,sysbot_monitor_hw_node-27,151200
2026-01-29 05:00,1340749,0,8861,3600,1328288,0,motor_driver_node-11,638975,drive_pid_path_node-16,377656,sysbot_monitor_hw_node-27,151200
2026-01-29 06:00,1371847,0,8983,3600,1359264,0,motor_driver_node-11,651565,drive_pid_path_node-16,390608,sysbot_monitor_hw_node-27,151200
2026-01-29 07:00,1341321,0,8964,3600,1328757,0,motor_driver_node-11,628477,drive_pid_path_node-16,382904,sysbot_monitor_hw_node-27,151200
2026-01-29 08:00,1349882,0,8889,3600,1337393,0,motor_driver_node-11,633704,drive_pid_path_node-16,389053,sysbot_monitor_hw_node-27,151200
2026-01-29 09:00,629074,0,8000,3600,617474,0,motor_driver_node-11,219326,sysbot_monitor_hw_node-27,151200,drive_pid_path_node-16,136649
2026-01-29 10:00,555692,0,7835,3600,544257,0,motor_driver_node-11,182368,sysbot_monitor_hw_node-27,151200,drive_pid_path_node-16,105946
2026-01-29 11:00,644112,0,7877,3600,632635,0,motor_driver_node-11,233032,sysbot_monitor_hw_node-27,151200,drive_pid_path_node-16,138655
2026-01-29 12:00,759291,0,8083,3600,747608,0,motor_driver_node-11,293373,drive_pid_path_node-16,179797,sysbot_monitor_hw_node-27,151200
2026-01-29 13:00,412075,0,7881,3600,400594,0,sysbot_monitor_hw_node-27,151200,motor_driver_node-11,100920,drive_pid_path_node-16,64763
2026-01-29 14:00,884195,0,9038,3600,871557,0,motor_driver_node-11,356858,drive_pid_path_node-16,232602,sysbot_monitor_hw_node-27,151198
2026-01-29 15:00,267671,0,7228,3600,256843,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,30018
2026-01-29 16:00,235455,0,7389,3600,224466,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,26588
2026-01-29 17:00,237596,0,7267,3600,226729,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36001,communication_node-22,28718
2026-01-29 18:00,237221,0,7200,3600,226421,0,sysbot_monitor_hw_node-27,151196,sysbot_monitor_node-28,36000,communication_node-22,28420
2026-01-29 19:00,527052,0,8020,3600,515432,0,motor_driver_node-11,167109,sysbot_monitor_hw_node-27,151200,drive_pid_path_node-16,105354
2026-01-29 20:00,876436,0,8031,3600,864805,0,motor_driver_node-11,363062,drive_pid_path_node-16,224836,sysbot_monitor_hw_node-27,151200
2026-01-29 21:00,276836,0,7536,3600,265700,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,26217
2026-01-29 22:00,248786,0,7200,3600,237986,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,28609
2026-01-29 23:00,237272,0,7200,3600,226472,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,28468
2026-01-30 00:00,237274,0,7200,3600,226474,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36001,communication_node-22,28468
2026-01-30 01:00,237268,0,7200,3600,226468,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,28464
2026-01-30 02:00,237256,0,7200,3600,226456,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,28452
2026-01-30 03:00,260338,0,7201,3601,249536,0,sysbot_monitor_hw_node-27,151242,communication_node-22,40515,sysbot_monitor_node-28,36001
2026-01-30 04:00,284753,0,7200,3600,273953,0,sysbot_monitor_hw_node-27,151200,communication_node-22,53313,sysbot_monitor_node-28,36000
2026-01-30 05:00,287343,0,7200,3600,276543,0,sysbot_monitor_hw_node-27,151200,communication_node-22,54651,sysbot_monitor_node-28,36000
2026-01-30 06:00,287120,0,7200,3600,276320,0,sysbot_monitor_hw_node-27,151200,communication_node-22,54583,sysbot_monitor_node-28,36000
2026-01-30 07:00,272074,0,7200,3600,261274,0,sysbot_monitor_hw_node-27,151200,communication_node-22,46732,sysbot_monitor_node-28,36001
2026-01-30 08:00,264365,0,7265,3600,253500,0,sysbot_monitor_hw_node-27,151200,communication_node-22,42223,sysbot_monitor_node-28,36000
2026-01-30 09:00,258217,0,7602,3600,247015,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,26267
2026-01-30 10:00,391696,0,8028,3600,380068,0,sysbot_monitor_hw_node-27,151200,motor_driver_node-11,87677,drive_pid_path_node-16,48698
2026-01-30 11:00,458267,0,8101,3600,446566,0,sysbot_monitor_hw_node-27,151200,motor_driver_node-11,124982,drive_pid_path_node-16,71399
2026-01-30 12:00,237249,0,7200,3600,226449,0,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000,communication_node-22,28444
2026-01-30 13:00,830500,0,8369,3600,818531,0,motor_driver_node-11,336018,drive_pid_path_node-16,205606,sysbot_monitor_hw_node-27,151200
